Column,Type
Idx,Index
UserInfo_1,Categorical
UserInfo_2,Categorical
UserInfo_3,Categorical
UserInfo_4,Categorical
WeblogInfo_1,Numerical
WeblogInfo_2,Numerical
WeblogInfo_3,Numerical
WeblogInfo_4,Numerical
WeblogInfo_5,Numerical
WeblogInfo_6,Numerical
WeblogInfo_7,Numerical
WeblogInfo_8,Numerical
WeblogInfo_9,Numerical
WeblogInfo_10,Numerical
WeblogInfo_11,Numerical
WeblogInfo_12,Numerical
WeblogInfo_13,Numerical
WeblogInfo_14,Numerical
WeblogInfo_15,Numerical
WeblogInfo_16,Numerical
WeblogInfo_17,Numerical
WeblogInfo_18,Numerical
UserInfo_5,Categorical
UserInfo_6,Categorical
UserInfo_7,Categorical
UserInfo_8,Categorical
UserInfo_9,Categorical
UserInfo_10,Numerical
UserInfo_11,Categorical
UserInfo_12,Categorical
UserInfo_13,Categorical
UserInfo_14,Numerical
UserInfo_15,Numerical
UserInfo_16,Categorical
UserInfo_17,Categorical
UserInfo_18,Numerical
UserInfo_19,Categorical
UserInfo_20,Categorical
UserInfo_21,Categorical
UserInfo_22,Categorical
UserInfo_23,Categorical
UserInfo_24,Categorical
Education_Info1,Categorical
Education_Info2,Categorical
Education_Info3,Categorical
Education_Info4,Categorical
Education_Info5,Categorical
Education_Info6,Categorical
Education_Info7,Categorical
Education_Info8,Categorical
WeblogInfo_19,Categorical
WeblogInfo_20,Categorical
WeblogInfo_21,Categorical
WeblogInfo_23,Numerical
WeblogInfo_24,Numerical
WeblogInfo_25,Numerical
WeblogInfo_26,Numerical
WeblogInfo_27,Numerical
WeblogInfo_28,Numerical
WeblogInfo_29,Numerical
WeblogInfo_30,Numerical
WeblogInfo_31,Numerical
WeblogInfo_32,Numerical
WeblogInfo_33,Numerical
WeblogInfo_34,Numerical
WeblogInfo_35,Numerical
WeblogInfo_36,Numerical
WeblogInfo_37,Numerical
WeblogInfo_38,Numerical
WeblogInfo_39,Numerical
WeblogInfo_40,Numerical
WeblogInfo_41,Numerical
WeblogInfo_42,Numerical
WeblogInfo_43,Numerical
WeblogInfo_44,Numerical
WeblogInfo_45,Numerical
WeblogInfo_46,Numerical
WeblogInfo_47,Numerical
WeblogInfo_48,Numerical
WeblogInfo_49,Numerical
WeblogInfo_50,Numerical
WeblogInfo_51,Numerical
WeblogInfo_52,Numerical
