City,CityRank
北京,1
上海,1
广州,1
深圳,1
天津,1
杭州,1.5
南京,1.5
济南,1.5
重庆,1.5
青岛,1.5
大连,1.5
宁波,1.5
厦门,1.5
成都,2
武汉,2
哈尔滨,2
沈阳,2
西安,2
长春,2
长沙,2
福州,2
郑州,2
石家庄,2
苏州,2
佛山,2
东莞,2
无锡,2
烟台,2
太原,2
合肥,2.5
南昌,2.5
南宁,2.5
昆明,2.5
温州,2.5
淄博,2.5
唐山,2.5
乌鲁木齐,3
贵阳,3
海口,3
兰州,3
银川,3
西宁,3
呼和浩特,3
泉州,3
包头,3
南通,3
大庆,3
徐州,3
潍坊,3
常州,3
鄂尔多斯,3
绍兴,3
济宁,3
盐城,3
邯郸,3
临沂,3
洛阳,3
东营,3
扬州,3
台州,3
嘉兴,3
沧州,3
榆林,3
泰州,3
镇江,3
昆山,3
江阴,3
张家港,3
义乌,3
金华,3
保定,3
吉林,3
鞍山,3
泰安,3
宜昌,3
襄阳,3
中山,3
惠州,3
南阳,3
威海,3
德州,3
岳阳,3
聊城,3
常德,3
漳州,3
滨州,3
茂名,3
淮安,3
江门,3
芜湖,3
湛江,3
廊坊,3
菏泽,3
柳州,3
宝鸡,3
珠海,3
绵阳,3
株洲,4
枣庄,4
许昌,4
通辽,4
湖州,4
新乡,4
咸阳,4
松原,4
连云港,4
安阳,4
周口,4
焦作,4
赤峰,4
邢台,4
郴州,4
宿迁,4
赣州,4
平顶山,4
桂林,4
肇庆,4
曲靖,4
九江,4
商丘,4
汕头,4
信阳,4
驻马店,4
营口,4
揭阳,4
龙岩,4
安庆,4
日照,4
遵义,4
三明,4
呼伦贝尔,4
长治,4
湘潭,4
德阳,4
南充,4
乐山,4
达州,4
盘锦,4
延安,4
上饶,4
锦州,4
宜春,4
宜宾,4
张家口,4
马鞍山,4
吕梁,4
抚顺,4
临汾,4
渭南,4
开封,4
莆田,4
荆州,4
黄冈,4
四平,4
承德,4
齐齐哈尔,4
三门峡,4
秦皇岛,4
本溪,4
玉林,4
孝感,4
牡丹江,4
荆门,4
宁德,4
运城,4
绥化,4
永州,4
怀化,4
黄石,4
泸州,4
清远,4
邵阳,4
衡水,4
益阳,4
丹东,4
铁岭,4
晋城,4
朔州,4
吉安,4
娄底,4
玉溪,4
辽阳,4
南平,4
濮阳,4
晋中,4
资阳,4
都江堰,4
攀枝花,4
衢州,4
内江,4
滁州,4
阜阳,4
十堰,4
大同,4
朝阳,4
六安,4
宿州,4
通化,4
蚌埠,4
韶关,4
丽水,4
自贡,4
阳江,4
毕节,4
拉萨,5
克拉玛依,5
库尔勒,5
昌吉,5
哈密,5
伊宁,5
喀什,5
阿克苏,5
石河子,5
晋江,5
增城,5
诸暨,5
丹阳,5
玉环,5
常熟,5
崇明,5
余姚,5
奉化,5
海宁,5
浏阳市,5
大理,5
丽江,5
普洱,5
保山,5
昭通,5
西昌,5
雅安,5
广安,5
广元,5
巴中,5
遂宁,5
天水,5
酒泉,5
嘉峪关,5
武威,5
张掖,5
石嘴山,5
吴忠,5
北海,5
百色,5
虎门镇,5
长安镇,5
鳌江-龙港镇,5
